;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;Variables ;Description ;;
;annee;2021;;
;code métier BMO ;Code métier BMO (FAP);;
;nom_metier BMO;libellé métier BMO ;;
;Famille_metier;Code famille de métier;;
;Libellé de famille de métier;libellé famille de métier;;
;REG;Code région Insee;;
;NOM_REG;Nom de la région ;;
;Dept;N° de département ;;
;NomDept;Nom du département ;;
;BE21;Code bassin d'emploi ;;
;NOMBE21;Nom du bassin d'emploi;;
;met;Nombre de projet de recrutement ;;
;xmet;Nombre de projets de recrutement jugés difficiles;;
;smet;Nombre de projets de recrutement saisonniers;;
;;;;
"Pour plus d'information consulter la rubrique en savoir plus, en particulier ""source et méthode"" ";;;;
https://statistiques.pole-emploi.org/bmo/static/methode_2021;;;;
